[2025-06-18 23:07:20] 🔁 Neues Training mit max_steps=26000000, learning_rate=0.00114, beta=0.1008, epsilon=0.226

[2025-06-18 23:07:20] 🔁 Neues Training mit max_steps=26000000, learning_rate=0.00114, beta=0.1008, epsilon=0.226

[2025-06-18 23:07:20] 🔁 Neues Training mit max_steps=26000000, learning_rate=0.00114, beta=0.1008, epsilon=0.226

[2025-06-18 23:07:20] 🔁 Neues Training mit max_steps=26000000, learning_rate=0.00114, beta=0.1008, epsilon=0.226

[2025-06-18 23:07:20] 🔁 Neues Training mit max_steps=26000000, learning_rate=0.00114, beta=0.1008, epsilon=0.226

[2025-06-18 23:07:20] 🔁 Neues Training mit max_steps=26000000, learning_rate=0.00114, beta=0.1008, epsilon=0.226

[2025-06-18 23:07:22] 🔁 Neues Training mit max_steps=26000000, learning_rate=0.00114, beta=0.1008, epsilon=0.226

[2025-06-18 23:07:22] 🔁 Neues Training mit max_steps=26000000, learning_rate=0.00114, beta=0.1008, epsilon=0.226

