[2025-06-24 06:35:43] 🔁 Neues Training mit max_steps=96000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-24 06:53:43] 🔁 Neues Training mit max_steps=97000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-24 07:11:43] 🔁 Neues Training mit max_steps=98000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-24 07:29:43] 🔁 Neues Training mit max_steps=99000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-24 07:47:43] 🔁 Neues Training mit max_steps=100000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-24 08:05:44] 🔁 Neues Training mit max_steps=101000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-24 08:23:44] 🔁 Neues Training mit max_steps=102000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-24 08:41:44] 🔁 Neues Training mit max_steps=103000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-24 08:59:44] 🔁 Neues Training mit max_steps=104000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-24 09:17:44] 🔁 Neues Training mit max_steps=105000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-24 09:35:44] 🔁 Neues Training mit max_steps=106000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-24 09:53:44] 🔁 Neues Training mit max_steps=107000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-24 10:11:44] 🔁 Neues Training mit max_steps=108000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-24 10:29:44] 🔁 Neues Training mit max_steps=109000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-24 10:47:44] 🔁 Neues Training mit max_steps=110000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-24 11:05:45] 🔁 Neues Training mit max_steps=111000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-24 11:23:45] 🔁 Neues Training mit max_steps=112000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-24 11:41:45] 🔁 Neues Training mit max_steps=113000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

